Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003yyr,diary,3,3,1916-05-01 00:00:00 UTC,1 May 1916,"","[0.0, 0.0]","",diaryDate,1 May 1916,"{""day""=>[""1""], ""month""=>[""May""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003yyr,diary,3,3,1916-05-01 00:00:00 UTC,1 May 1916,Mailly,"[0.0, 0.0]","",place,Mailly,"{""place""=>[""Mailly""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2996685,Mailly-Maillet,"[2.60473, 50.08025]"
3,AWD0003yyr,diary,3,4,1916-05-01 00:00:00 UTC,1 May 1916,Mailly,"[0.0, 0.0]","",weather,fine,{},2996685,Mailly-Maillet,"[2.60473, 50.08025]"
4,AWD0003yyr,diary,3,2,1916-05-01 00:00:00 UTC,1 May 1916,Mailly,"[0.0, 0.0]","",diaryDate,1 May 1916,"{""day""=>[""1""], ""month""=>[""May""], ""year""=>[""1916""]}",2996685,Mailly-Maillet,"[2.60473, 50.08025]"
8,AWD0003yyr,diary,3,4,1916-05-01 00:00:00 UTC,1 May 1916,Mailly,"[0.0, 0.0]","",weather,fine,{},2996685,Mailly-Maillet,"[2.60473, 50.08025]"
9,AWD0003yyr,diary,3,3,1916-05-02 00:00:00 UTC,2 May 1916,Mailly,"[0.0, 0.0]","",diaryDate,2 May 1916,"{""day""=>[""2""], ""month""=>[""May""], ""year""=>[""1916""]}",2996685,Mailly-Maillet,"[2.60473, 50.08025]"
13,AWD0003yyr,diary,3,2,1916-05-03 00:00:00 UTC,3 May 1916,Mailly,"[0.0, 0.0]","",diaryDate,3 May 1916,"{""day""=>[""3""], ""month""=>[""May""], ""year""=>[""1916""]}",2996685,Mailly-Maillet,"[2.60473, 50.08025]"
15,AWD0003yyr,diary,3,4,1916-05-03 00:00:00 UTC,3 May 1916,Mailly,"[0.0, 0.0]","",weather,fine,{},2996685,Mailly-Maillet,"[2.60473, 50.08025]"
16,AWD0003yyr,diary,3,2,1916-05-03 00:00:00 UTC,3 May 1916,Mailly,"[0.0, 0.0]","",diaryDate,3 May 1916,"{""day""=>[""3""], ""month""=>[""May""], ""year""=>[""1916""]}",2996685,Mailly-Maillet,"[2.60473, 50.08025]"
21,AWD0003yyr,diary,3,3,1916-05-04 00:00:00 UTC,4 May 1916,Mailly,"[0.0, 0.0]","",diaryDate,4 May 1916,"{""day""=>[""4""], ""month""=>[""May""], ""year""=>[""1916""]}",2996685,Mailly-Maillet,"[2.60473, 50.08025]"
