Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003yxh,diary,257,2,,"","","[0.0, 0.0]","",place,Egypt,"{""place""=>[""Egypt""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD0003yxh,diary,257,2,,"","","[0.0, 0.0]","",place,France,"{""place""=>[""France""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD0003yxh,diary,257,3,,"","","[0.0, 0.0]","",person,Lieutenant F E Harrison,"{""first""=>[""F E""], ""surname""=>[""Harrison""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""commander"", ""other"", ""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003yxh,diary,257,2,,"","","[0.0, 0.0]","",person,"Lieutenant  Meeson, MEASON","{""first""=>[""""], ""surname""=>[""Meeson"", ""MEASON""], ""rank""=>[""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003yxh,diary,257,4,,"","","[0.0, 0.0]","",person,"Second Lieutenant,Lieutenant  Dann, Hale, DANN, HALE","{""first""=>[""""], ""surname""=>[""Dann"", ""Hale"", ""DANN"", ""HALE""], ""rank""=>[""Second Lieutenant"", ""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
6,AWD0003yxh,diary,257,2,,"","","[0.0, 0.0]","",person,"Second Lieutenant,Lieutenant  Reay, REAY","{""first""=>[""""], ""surname""=>[""Reay"", ""REAY""], ""rank""=>[""Second Lieutenant"", ""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD0003yxh,diary,257,2,,"","","[0.0, 0.0]","",person,"Second Lieutenant,Lieutenant  Frobisher, FROBISHET","{""first""=>[""""], ""surname""=>[""Frobisher"", ""FROBISHET""], ""rank""=>[""Second Lieutenant"", ""Lieutenant""], ""number""=>[""""], ""reason""=>[""other"", ""joined""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
8,AWD0003yxh,diary,257,4,,"","","[0.0, 0.0]",0100AM,time,0100AM,{},2985684,Pozières,"[2.72929, 50.04047]"
9,AWD0003yxh,diary,257,2,,"",Kantara,"[0.0, 0.0]",0100AM,place,Kantara,"{""place""=>[""Kantara""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
10,AWD0003yxh,diary,257,5,1916-02-28 00:00:00 UTC,28 Feb 1916,Kantara,"[0.0, 0.0]","",diaryDate,28 Feb 1916,"{""day""=>[""28""], ""month""=>[""Feb""], ""year""=>[""1916""]}",,,
11,AWD0003yxh,diary,257,3,1916-02-28 00:00:00 UTC,28 Feb 1916,Kantara,"[0.0, 0.0]","",activity,movement,{},,,
12,AWD0003yxh,diary,257,3,1916-02-28 00:00:00 UTC,28 Feb 1916,Port Said,"[0.0, 0.0]","",place,Port Said,"{""place""=>[""Port Said""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2995469,Marseille,"[5.38107, 43.29695]"
