Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003ywb,diary,372,2,,"",Railway Station at Alexandra ,"[0.0, 0.0]","",place,Railway Station at Alexandra ,"{""place""=>[""Railway Station at Alexandra ""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
2,AWD0003ywb,diary,372,4,1916-03-01 00:00:00 UTC,1 Mar 1916,Railway Station at Alexandra ,"[0.0, 0.0]","",diaryDate,1 Mar 1916,"{""day""=>[""1""], ""month""=>[""Mar""], ""year""=>[""1916""]}",,,
4,AWD0003ywb,diary,372,4,1916-03-01 00:00:00 UTC,1 Mar 1916,Alexandria,"[0.0, 0.0]","",place,Alexandria,"{""place""=>[""Alexandria""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2657513,Alexandria,"[-4.5864, 55.99379]"
8,AWD0003ywb,diary,372,2,1916-03-01 00:00:00 UTC,1 Mar 1916,Alexandria,"[0.0, 0.0]","",activity,movement,{},2657513,Alexandria,"[-4.5864, 55.99379]"
11,AWD0003ywb,diary,372,2,1916-03-01 03:00:00 UTC,1 Mar 1916,Alexandria,"[0.0, 0.0]",0300AM,time,0300AM,{},2657513,Alexandria,"[-4.5864, 55.99379]"
14,AWD0003ywb,diary,372,3,1916-03-01 21:00:00 UTC,1 Mar 1916,Alexandria,"[0.0, 0.0]",0900PM,time,0900PM,{},2657513,Alexandria,"[-4.5864, 55.99379]"
15,AWD0003ywb,diary,372,2,1916-03-01 21:00:00 UTC,1 Mar 1916,Alexandria,"[0.0, 0.0]",0900PM,activity,movement,{},2657513,Alexandria,"[-4.5864, 55.99379]"
2,AWD0003yvh,diary,373,2,1916-03-07 00:00:00 UTC,7 Mar 1916,Alexandria,"[0.0, 0.0]","",diaryDate,7 Mar 1916,"{""day""=>[""7""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2657513,Alexandria,"[-4.5864, 55.99379]"
4,AWD0003yvh,diary,373,2,1916-03-07 00:00:00 UTC,7 Mar 1916,Alexandria,"[0.0, 0.0]","",place,"At sea, At Sea","{""place""=>[""At sea"", ""At Sea""], ""location""=>[""false""], ""name""=>[""Neuville-au-Bois"", """"], ""lat""=>[""49.97229"", """"], ""long""=>[""1.78908"", """"], ""id""=>[""2990553"", """"]}",2657513,Alexandria,"[-4.5864, 55.99379]"
7,AWD0003yvh,diary,373,2,1916-03-07 00:00:00 UTC,7 Mar 1916,Alexandria,"[0.0, 0.0]","",diaryDate,7 Mar 1916,"{""day""=>[""7""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2657513,Alexandria,"[-4.5864, 55.99379]"
9,AWD0003yvh,diary,373,2,1916-03-07 22:00:00 UTC,7 Mar 1916,Alexandria,"[0.0, 0.0]",1000PM,time,1000PM,{},2657513,Alexandria,"[-4.5864, 55.99379]"
10,AWD0003yvh,diary,373,4,1916-03-08 00:00:00 UTC,8 Mar 1916,Alexandria,"[0.0, 0.0]","",diaryDate,8 Mar 1916,"{""day""=>[""8""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2657513,Alexandria,"[-4.5864, 55.99379]"
11,AWD0003yvh,diary,373,4,1916-03-08 00:00:00 UTC,8 Mar 1916,Alexandria,"[0.0, 0.0]","",place,Marseilles,"{""place""=>[""Marseilles""], ""location""=>[""true"", ""false""], ""name""=>[""Marseille""], ""lat""=>[""43.29695""], ""long""=>[""5.38107""], ""id""=>[""2995469""]}",2657513,Alexandria,"[-4.5864, 55.99379]"
12,AWD0003yvh,diary,373,2,1916-03-08 00:00:00 UTC,8 Mar 1916,Alexandria,"[0.0, 0.0]","",activity,movement,{},2657513,Alexandria,"[-4.5864, 55.99379]"
13,AWD0003yvh,diary,373,2,1916-03-08 08:30:00 UTC,8 Mar 1916,Alexandria,"[0.0, 0.0]",0830AM,time,0830AM,{},2657513,Alexandria,"[-4.5864, 55.99379]"
