Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD0003yla,diary,6,4,1916-02-28 00:00:00 UTC,28 Feb 1916,"","[0.0, 0.0]","",diaryDate,28 Feb 1916,"{""day""=>[""28""], ""month""=>[""Feb""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
4,AWD0003yla,diary,6,4,1916-02-28 00:00:00 UTC,28 Feb 1916,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD0003yla,diary,6,2,1916-02-28 00:00:00 UTC,28 Feb 1916,"","[0.0, 0.0]","",place,"EYGPT, Eygpt","{""place""=>[""EYGPT"", ""Eygpt""], ""location""=>[""true"", ""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
12,AWD0003yla,diary,6,4,1916-02-28 00:00:00 UTC,28 Feb 1916,"","[0.0, 0.0]","",person,Second Lieutenant  Dixon,"{""first""=>[""""], ""surname""=>[""Dixon""], ""rank""=>[""Second Lieutenant""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
14,AWD0003yla,diary,6,5,1916-03-06 00:00:00 UTC,6 Mar 1916,"","[0.0, 0.0]","",diaryDate,6 Mar 1916,"{""day""=>[""6""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
15,AWD0003yla,diary,6,4,1916-03-06 00:00:00 UTC,6 Mar 1916,Marseilles,"[5.38107, 43.29695]","",place,Marseilles,"{""place""=>[""Marseilles""], ""location""=>[""true""], ""name""=>[""Marseille"", """"], ""lat""=>[""43.29695"", """"], ""long""=>[""5.38107"", """"], ""id""=>[""2995469"", """"]}",2995469,Marseille,"[5.38107, 43.29695]"
17,AWD0003yla,diary,6,3,1916-03-06 00:00:00 UTC,6 Mar 1916,Rouen,"[1.09932, 49.44313]","",place,Rouen,"{""place""=>[""Rouen""], ""location""=>[""true""], ""name""=>[""Rouen""], ""lat""=>[""49.44313""], ""long""=>[""1.09932""], ""id""=>[""2982652""]}",2989877,Noyon,"[3.0, 49.58333]"
19,AWD0003yla,diary,6,3,1916-03-06 00:00:00 UTC,6 Mar 1916,Rouen,"[1.09932, 49.44313]","",activity,movement,{},2989877,Noyon,"[3.0, 49.58333]"
23,AWD0003yla,diary,6,5,1916-03-13 00:00:00 UTC,13 Mar 1916,Rouen,"[1.09932, 49.44313]","",diaryDate,13 Mar 1916,"{""day""=>[""13""], ""month""=>[""Mar""], ""year""=>[""1916""]}",2989877,Noyon,"[3.0, 49.58333]"
25,AWD0003yla,diary,6,4,1916-03-13 00:00:00 UTC,13 Mar 1916,Hallencourt,"[1.87649, 49.99201]","",place,Hallencourt,"{""place""=>[""Hallencourt""], ""location""=>[""true""], ""name""=>[""Hallencourt""], ""lat""=>[""49.99201""], ""long""=>[""1.87649""], ""id""=>[""3014050""]}",3013871,Hattencourt,"[2.78656, 49.76882]"
26,AWD0003yla,diary,6,3,1916-03-13 00:00:00 UTC,13 Mar 1916,Hallencourt,"[1.87649, 49.99201]","",activity,movement,{},3013871,Hattencourt,"[2.78656, 49.76882]"
27,AWD0003yla,diary,6,2,1916-03-13 00:00:00 UTC,13 Mar 1916,Hallencourt,"[1.87649, 49.99201]","",unit,"31st Divisional, 31st Division","{""name""=>[""31st Divisional"", ""31st Division""], ""context""=>[""joined"", ""other""]}",3013871,Hattencourt,"[2.78656, 49.76882]"
29,AWD0003yla,diary,6,2,1916-03-15 00:00:00 UTC,15 Mar 1916,Hallencourt,"[1.87649, 49.99201]","",diaryDate,15 Mar 1916,"{""day""=>[""15""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3013871,Hattencourt,"[2.78656, 49.76882]"
32,AWD0003yla,diary,6,2,1916-03-15 00:00:00 UTC,15 Mar 1916,Hallencourt,"[1.87649, 49.99201]","",place,Limeux,"{""place""=>[""Limeux""], ""location""=>[""true"", ""false""], ""name""=>["""", ""Limeux""], ""lat""=>["""", ""50.01887""], ""long""=>["""", ""1.81655""], ""id""=>["""", ""2998290""]}",3013871,Hattencourt,"[2.78656, 49.76882]"
36,AWD0003yla,diary,6,4,1916-03-10 00:00:00 UTC,10 Mar 1916,Hallencourt,"[1.87649, 49.99201]","",diaryDate,10 Mar 1916,"{""day""=>[""10""], ""month""=>[""Mar""], ""year""=>[""1916""]}",3013871,Hattencourt,"[2.78656, 49.76882]"
