Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
10,AWD000451r,other,22,2,,,,[],,activity,attack,{},,,
1,AWD000455n,diary,38,5,1914-11-04 00:00:00 UTC,4 Nov 1914,"","[0.0, 0.0]","",diaryDate,4 Nov 1914,"{""day""=>[""4""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000455n,diary,38,4,1914-11-04 00:00:00 UTC,4 Nov 1914,"","[0.0, 0.0]","",activity,movement,{},2985684,Pozières,"[2.72929, 50.04047]"
5,AWD000455n,diary,38,4,1914-11-04 00:00:00 UTC,4 Nov 1914,Hursley,"[-1.39067, 51.02536]","",place,Hursley,"{""place""=>[""Hursley""], ""location""=>[""true""], ""name""=>[""Hursley""], ""lat""=>[""51.02536""], ""long""=>[""-1.39067""], ""id""=>[""2646363""]}",,,
6,AWD000455n,diary,38,2,1914-11-04 14:40:00 UTC,4 Nov 1914,Hursley,"[-1.39067, 51.02536]",0240PM,time,0240PM,{},,,
7,AWD000455n,diary,38,2,1914-11-04 14:40:00 UTC,4 Nov 1914,Southampton,"[-1.41981, 50.90325]",0240PM,place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""true""], ""name""=>[""Southampton Port""], ""lat""=>[""50.90325""], ""long""=>[""-1.41981""], ""id""=>[""9253608""]}",2637487,Southampton,"[-1.40428, 50.90395]"
11,AWD000455n,diary,38,3,1914-11-04 14:40:00 UTC,4 Nov 1914,Southampton,"[-1.41981, 50.90325]",0240PM,activity,movement,{},2637487,Southampton,"[-1.40428, 50.90395]"
15,AWD000455n,diary,38,5,1914-11-05 00:00:00 UTC,5 Nov 1914,Southampton,"[-1.41981, 50.90325]","",diaryDate,5 Nov 1914,"{""day""=>[""5""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2637487,Southampton,"[-1.40428, 50.90395]"
16,AWD000455n,diary,38,2,1914-11-05 00:00:00 UTC,5 Nov 1914,Havre,"[0.0, 0.0]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Havré"", ""Le Havre""], ""lat""=>[""50.46401"", ""49.4938""], ""long""=>[""4.04675"", ""0.10767""], ""id""=>[""2796353"", ""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
19,AWD000455n,diary,38,4,1914-11-05 00:00:00 UTC,5 Nov 1914,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
20,AWD000455n,diary,38,4,1914-11-05 00:00:00 UTC,5 Nov 1914,Havre,"[0.10767, 49.4938]","",activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
25,AWD000455n,diary,38,5,1914-11-06 00:00:00 UTC,6 Nov 1914,Havre,"[0.10767, 49.4938]","",diaryDate,6 Nov 1914,"{""day""=>[""6""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
26,AWD000455n,diary,38,2,1914-11-06 00:00:00 UTC,6 Nov 1914,"Havre, havre","[0.0, 0.0]","",place,"Havre, havre","{""place""=>[""Havre"", ""havre""], ""location""=>[""true""], ""name""=>[""Havré"", ""Le Havre""], ""lat""=>[""50.46401"", ""49.4938""], ""long""=>[""4.04675"", ""0.10767""], ""id""=>[""2796353"", ""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
27,AWD000455n,diary,38,4,1914-11-06 00:00:00 UTC,6 Nov 1914,"Havre, havre","[0.0, 0.0]","",domestic,inspections,{},3003796,Le Havre,"[0.10767, 49.4938]"
32,AWD000455n,diary,38,5,1914-11-07 00:00:00 UTC,7 Nov 1914,"Havre, havre","[0.0, 0.0]","",diaryDate,7 Nov 1914,"{""day""=>[""7""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
35,AWD000455n,diary,38,3,1914-11-07 00:00:00 UTC,7 Nov 1914,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
36,AWD000455n,diary,38,2,1914-11-07 00:00:00 UTC,7 Nov 1914,Havre,"[0.10767, 49.4938]","",domestic,uniform,{},3003796,Le Havre,"[0.10767, 49.4938]"
37,AWD000455n,diary,38,5,1914-11-08 00:00:00 UTC,8 Nov 1914,Havre,"[0.10767, 49.4938]","",diaryDate,8 Nov 1914,"{""day""=>[""8""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
38,AWD000455n,diary,38,2,1914-11-08 00:00:00 UTC,8 Nov 1914,Havre,"[0.0, 0.0]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Havré"", ""Le Havre""], ""lat""=>[""50.46401"", ""49.4938""], ""long""=>[""4.04675"", ""0.10767""], ""id""=>[""2796353"", ""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
39,AWD000455n,diary,38,4,1914-11-08 00:00:00 UTC,8 Nov 1914,Havre,"[0.0, 0.0]","",activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
43,AWD000455n,diary,38,2,1914-11-08 14:30:00 UTC,8 Nov 1914,Havre,"[0.0, 0.0]",0230PM,time,0230PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
44,AWD000455n,diary,38,3,1914-11-08 14:30:00 UTC,8 Nov 1914,Havre,"[0.10767, 49.4938]",0230PM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre""], ""lat""=>[""49.4938""], ""long""=>[""0.10767""], ""id""=>[""3003796""]}",3003796,Le Havre,"[0.10767, 49.4938]"
45,AWD000455n,diary,38,2,1914-11-08 14:30:00 UTC,8 Nov 1914,Havre,"[0.10767, 49.4938]",0230PM,casualties,sick: 4,{},3003796,Le Havre,"[0.10767, 49.4938]"
46,AWD000455n,diary,38,2,1914-11-08 14:30:00 UTC,8 Nov 1914,Havre,"[0.10767, 49.4938]",0230PM,casualties,other: 4,{},3003796,Le Havre,"[0.10767, 49.4938]"
