Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000468g,cover,1,2,,,,[],,diaryDate,"1 Nov,Dec 1914, 1916","{""day""=>[""1""], ""month""=>[""Nov"", ""Dec""], ""year""=>[""1914"", ""1916""]}",,,
1,AWD000463m,diary,4,4,1914-11-04 00:00:00 UTC,4 Nov 1914,"","[0.0, 0.0]","",diaryDate,4 Nov 1914,"{""day""=>[""4""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD000463m,diary,4,4,1914-11-04 10:30:00 UTC,4 Nov 1914,"","[0.0, 0.0]",1030AM,time,1030AM,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD000463m,diary,4,2,1914-11-04 10:30:00 UTC,4 Nov 1914,"","[0.0, 0.0]",1030AM,place,France,"{""place""=>[""France""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2985684,Pozières,"[2.72929, 50.04047]"
7,AWD000463m,diary,4,6,1914-11-04 10:30:00 UTC,4 Nov 1914,Hursley Park,"[0.0, 0.0]",1030AM,place,Hursley Park,"{""place""=>[""Hursley Park""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
9,AWD000463m,diary,4,4,1914-11-04 10:30:00 UTC,4 Nov 1914,Hursley Park,"[0.0, 0.0]",1030AM,activity,movement,{},,,
10,AWD000463m,diary,4,2,1914-11-04 05:00:00 UTC,4 Nov 1914,Hursley Park,"[0.0, 0.0]",0500AM,time,0500AM,{},,,
11,AWD000463m,diary,4,4,1914-11-04 05:00:00 UTC,4 Nov 1914,Hursley Park,"[0.0, 0.0]",0500AM,weather,rain,{},,,
12,AWD000463m,diary,4,3,1914-11-04 23:30:00 UTC,4 Nov 1914,Hursley Park,"[0.0, 0.0]",1130PM,time,1130PM,{},,,
13,AWD000463m,diary,4,5,1914-11-05 00:00:00 UTC,5 Nov 1914,Hursley Park,"[0.0, 0.0]","",diaryDate,5 Nov 1914,"{""day""=>[""5""], ""month""=>[""Nov""], ""year""=>[""1914""]}",,,
14,AWD000463m,diary,4,3,1914-11-05 00:00:00 UTC,5 Nov 1914,Hursley Park,"[0.0, 0.0]","",place,Southampton,"{""place""=>[""Southampton""], ""location""=>[""false""], ""name""=>[""Southampton""], ""lat""=>[""50.90395""], ""long""=>[""-1.40428""], ""id""=>[""2637487""]}",,,
16,AWD000463m,diary,4,2,1914-11-05 00:00:00 UTC,5 Nov 1914,Hursley Park,"[0.0, 0.0]","",activity,movement,{},,,
18,AWD000463m,diary,4,4,1914-11-05 18:30:00 UTC,5 Nov 1914,Hursley Park,"[0.0, 0.0]",0630PM,time,0630PM,{},,,
19,AWD000463m,diary,4,3,1914-11-06 00:00:00 UTC,6 Nov 1914,Hursley Park,"[0.0, 0.0]","",diaryDate,6 Nov 1914,"{""day""=>[""6""], ""month""=>[""Nov""], ""year""=>[""1914""]}",,,
20,AWD000463m,diary,4,2,1914-11-06 00:00:00 UTC,6 Nov 1914,Hursley Park,"[0.0, 0.0]","",diaryDate,6 Nov 1914,"{""day""=>[""6""], ""month""=>[""Nov""], ""year""=>[""1914""]}",,,
21,AWD000463m,diary,4,8,1914-11-06 00:00:00 UTC,6 Nov 1914,Hursley Park,"[0.0, 0.0]","",activity,movement,{},,,
22,AWD000463m,diary,4,4,1914-11-06 12:00:00 UTC,6 Nov 1914,Hursley Park,"[0.0, 0.0]",1200PM,time,1200PM,{},,,
23,AWD000463m,diary,4,4,1914-11-06 12:00:00 UTC,6 Nov 1914,Hursley Park,"[0.0, 0.0]",1200PM,domestic,accomodation,{},,,
24,AWD000463m,diary,4,3,1914-11-06 12:00:00 UTC,6 Nov 1914,Havn,"[0.0, 0.0]",1200PM,place,Havn,"{""place""=>[""Havn""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
26,AWD000463m,diary,4,2,1914-11-10 00:00:00 UTC,"10 Nov 1914, ",Havn,"[0.0, 0.0]","",diaryDate,"10 Nov 1914, ","{""day""=>[""10""], ""month""=>[""Nov""], ""year""=>[""1914"", nil]}",,,
27,AWD000463m,diary,4,3,1914-11-10 00:00:00 UTC,10 Nov 1914,Havn,"[0.0, 0.0]","",diaryDate,10 Nov 1914,"{""day""=>[""10""], ""month""=>[""Nov""], ""year""=>[""1914""]}",,,
28,AWD000463m,diary,4,4,1914-11-10 06:00:00 UTC,10 Nov 1914,Havn,"[0.0, 0.0]",0600AM,time,0600AM,{},,,
29,AWD000463m,diary,4,4,1914-11-10 06:00:00 UTC,10 Nov 1914,Havn,"[0.0, 0.0]",0600AM,activity,movement,{},,,
30,AWD000463m,diary,4,2,1914-11-10 06:00:00 UTC,10 Nov 1914,Havn,"[0.0, 0.0]",0600AM,place,Havn,"{""place""=>[""Havn""], ""location""=>[""false"", ""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
31,AWD000463m,diary,4,2,1914-11-11 00:00:00 UTC,"11 Nov 1914, ",Havn,"[0.0, 0.0]","",diaryDate,"11 Nov 1914, ","{""day""=>[""11""], ""month""=>[""Nov""], ""year""=>[""1914"", nil]}",,,
32,AWD000463m,diary,4,3,1914-11-11 00:00:00 UTC,11 Nov 1914,Havn,"[0.0, 0.0]","",diaryDate,11 Nov 1914,"{""day""=>[""11""], ""month""=>[""Nov""], ""year""=>[""1914""]}",,,
33,AWD000463m,diary,4,4,1914-11-11 00:00:00 UTC,11 Nov 1914,Havn,"[0.0, 0.0]","",place,Strazeele,"{""place""=>[""Strazeele""], ""location""=>[""false""], ""name""=>[""Strazeele""], ""lat""=>[""50.72632""], ""long""=>[""2.63085""], ""id""=>[""2973780""]}",,,
34,AWD000463m,diary,4,4,1914-11-11 00:00:00 UTC,11 Nov 1914,Havn,"[0.0, 0.0]","",place,Merville,"{""place""=>[""Merville""], ""location""=>[""false""], ""name""=>[""Merville""], ""lat""=>[""50.64329""], ""long""=>[""2.64125""], ""id""=>[""2994297""]}",,,
35,AWD000463m,diary,4,6,1914-11-11 00:00:00 UTC,11 Nov 1914,Havn,"[0.0, 0.0]","",activity,movement,{},,,
36,AWD000463m,diary,4,4,1914-11-11 00:00:00 UTC,11 Nov 1914,Havn,"[0.0, 0.0]","",place,Berguette,"{""place""=>[""Berguette""], ""location""=>[""false""], ""name""=>[""Berguette""], ""lat""=>[""50.60722""], ""long""=>[""2.47431""], ""id""=>[""3033360""]}",,,
37,AWD000463m,diary,4,2,1914-11-11 00:00:00 UTC,11 Nov 1914,Havn,"[0.0, 0.0]","",domestic,accomodation,{},,,
38,AWD000463m,diary,4,4,1914-11-11 00:00:00 UTC,11 Nov 1914,Havn,"[0.0, 0.0]","",place,Caudescure,"{""place""=>[""Caudescure""], ""location""=>[""false""], ""name""=>[""Berguette""], ""lat""=>[""50.60722""], ""long""=>[""2.47431""], ""id""=>[""3033360""]}",,,
39,AWD000463m,diary,4,4,1914-11-14 00:00:00 UTC,14 Nov 1914,Havn,"[0.0, 0.0]","",diaryDate,14 Nov 1914,"{""day""=>[""14""], ""month""=>[""Nov""], ""year""=>[""1914""]}",,,
42,AWD000463m,diary,4,4,1914-11-14 00:00:00 UTC,14 Nov 1914,Caudescure,"[0.0, 0.0]","",place,Caudescure,"{""place""=>[""Caudescure""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3019578,Estaires,"[2.72782, 50.64574]"
1,AWD000468k,diary,5,2,1914-11-14 00:00:00 UTC,14 Nov 1914,Caudescure,"[0.0, 0.0]","",diaryDate,14 Nov 1914,"{""day""=>[""14""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3019578,Estaires,"[2.72782, 50.64574]"
2,AWD000468k,diary,5,3,1914-11-14 21:30:00 UTC,14 Nov 1914,Caudescure,"[0.0, 0.0]",0930PM,time,0930PM,{},3019578,Estaires,"[2.72782, 50.64574]"
3,AWD000468k,diary,5,5,1914-11-14 21:30:00 UTC,14 Nov 1914,Caudescure,"[0.0, 0.0]",0930PM,activity,movement,{},3019578,Estaires,"[2.72782, 50.64574]"
4,AWD000468k,diary,5,6,1914-11-14 21:30:00 UTC,14 Nov 1914,Levantie,"[0.0, 0.0]",0930PM,place,Levantie,"{""place""=>[""Levantie""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3005696,Laventie,"[2.77076, 50.62818]"
6,AWD000468k,diary,5,2,1914-11-14 21:30:00 UTC,14 Nov 1914,Levantie,"[0.0, 0.0]",0930PM,unit,"42nd Bde R.F.A, 42nd Bde R.F.A.","{""name""=>[""42nd Bde R.F.A"", ""42nd Bde R.F.A.""], ""context""=>[""relieved""]}",3005696,Laventie,"[2.77076, 50.62818]"
7,AWD000468k,diary,5,5,1914-11-15 00:00:00 UTC,15 Nov 1914,Levantie,"[0.0, 0.0]","",diaryDate,15 Nov 1914,"{""day""=>[""15""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3005696,Laventie,"[2.77076, 50.62818]"
