Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00047eg,diary,5,5,1914-11-05 00:00:00 UTC,5 Nov 1914,"","[0.0, 0.0]","",diaryDate,5 Nov 1914,"{""day""=>[""5""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00047eg,diary,5,4,1914-11-05 04:30:00 UTC,5 Nov 1914,"","[0.0, 0.0]",0430AM,time,0430AM,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00047eg,diary,5,5,1914-11-05 04:30:00 UTC,5 Nov 1914,"","[0.0, 0.0]",0430AM,domestic,parades,{},2985684,Pozières,"[2.72929, 50.04047]"
6,AWD00047eg,diary,5,4,1914-11-05 04:30:00 UTC,5 Nov 1914,Hursley,"[-1.39067, 51.02536]",0430AM,place,Hursley,"{""place""=>[""Hursley""], ""location""=>[""true""], ""name""=>[""Hursley""], ""lat""=>[""51.02536""], ""long""=>[""-1.39067""], ""id""=>[""2646363""]}",,,
7,AWD00047eg,diary,5,2,1914-11-05 04:30:00 UTC,5 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]",0430AM,place,Hursley Park Camp,"{""place""=>[""Hursley Park Camp""], ""location""=>[""true""], ""name""=>[""Aldershot"", """"], ""lat""=>[""51.24827"", """"], ""long""=>[""-0.76389"", """"], ""id""=>[""2657540"", """"]}",,,
9,AWD00047eg,diary,5,6,1914-11-05 04:30:00 UTC,5 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]",0430AM,strength,"officer: 6, other: 212",{},,,
11,AWD00047eg,diary,5,3,1914-11-05 09:15:00 UTC,5 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]",0915AM,time,0915AM,{},,,
13,AWD00047eg,diary,5,4,1914-11-05 09:15:00 UTC,5 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]",0915AM,activity,movement,{},,,
14,AWD00047eg,diary,5,2,1914-11-05 09:15:00 UTC,5 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]",0915AM,person,",other HT,H T WELSHMAN","{""first""=>[""HT"", ""H T""], ""surname""=>[""WELSHMAN""], ""rank""=>["""", ""other""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",,,
15,AWD00047eg,diary,5,3,1914-11-05 13:00:00 UTC,5 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]",0100PM,time,0100PM,{},,,
16,AWD00047eg,diary,5,3,1914-11-06 00:00:00 UTC,6 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]","",diaryDate,6 Nov 1914,"{""day""=>[""6""], ""month""=>[""Nov""], ""year""=>[""1914""]}",,,
18,AWD00047eg,diary,5,2,1914-11-06 00:00:00 UTC,6 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]","",diaryDate,6 Nov 1914,"{""day""=>[""6""], ""month""=>[""Nov""], ""year""=>[""1914""]}",,,
19,AWD00047eg,diary,5,4,1914-11-06 11:00:00 UTC,6 Nov 1914,Hursley Park Camp,"[-0.76389, 51.24827]",1100AM,time,1100AM,{},,,
20,AWD00047eg,diary,5,6,1914-11-06 11:00:00 UTC,6 Nov 1914,Havre,"[0.10767, 49.4938]",1100AM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre"", """"], ""lat""=>[""49.4938"", """"], ""long""=>[""0.10767"", """"], ""id""=>[""3003796"", """"]}",3003796,Le Havre,"[0.10767, 49.4938]"
22,AWD00047eg,diary,5,2,1914-11-06 11:00:00 UTC,6 Nov 1914,Havre,"[0.10767, 49.4938]",1100AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
23,AWD00047eg,diary,5,2,1914-11-06 18:00:00 UTC,6 Nov 1914,Havre,"[0.10767, 49.4938]",0600PM,time,0600PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
25,AWD00047eg,diary,5,5,1914-11-07 00:00:00 UTC,7 Nov 1914,Havre,"[0.10767, 49.4938]","",diaryDate,7 Nov 1914,"{""day""=>[""7""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
26,AWD00047eg,diary,5,4,1914-11-07 07:00:00 UTC,7 Nov 1914,Havre,"[0.10767, 49.4938]",0700AM,time,0700AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
27,AWD00047eg,diary,5,5,1914-11-07 07:00:00 UTC,7 Nov 1914,Havre,"[0.10767, 49.4938]",0700AM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre"", """"], ""lat""=>[""49.4938"", """"], ""long""=>[""0.10767"", """"], ""id""=>[""3003796"", """"]}",3003796,Le Havre,"[0.10767, 49.4938]"
28,AWD00047eg,diary,5,4,1914-11-07 07:00:00 UTC,7 Nov 1914,Havre,"[0.10767, 49.4938]",0700AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
31,AWD00047eg,diary,5,5,1914-11-08 00:00:00 UTC,8 Nov 1914,Havre,"[0.10767, 49.4938]","",diaryDate,8 Nov 1914,"{""day""=>[""8""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
33,AWD00047eg,diary,5,5,1914-11-08 00:00:00 UTC,8 Nov 1914,Havre,"[0.10767, 49.4938]","",place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre"", """"], ""lat""=>[""49.4938"", """"], ""long""=>[""0.10767"", """"], ""id""=>[""3003796"", """"]}",3003796,Le Havre,"[0.10767, 49.4938]"
36,AWD00047eg,diary,5,2,1914-11-08 16:15:00 UTC,8 Nov 1914,Havre,"[0.10767, 49.4938]",0415PM,time,0415PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
39,AWD00047eg,diary,5,2,1914-11-08 06:00:00 UTC,8 Nov 1914,Havre,"[0.10767, 49.4938]",0600AM,time,0600AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
40,AWD00047eg,diary,5,6,1914-11-09 00:00:00 UTC,9 Nov 1914,Havre,"[0.10767, 49.4938]","",diaryDate,9 Nov 1914,"{""day""=>[""9""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
42,AWD00047eg,diary,5,4,1914-11-09 04:00:00 UTC,9 Nov 1914,Havre,"[0.10767, 49.4938]",0400AM,time,0400AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
43,AWD00047eg,diary,5,5,1914-11-09 04:00:00 UTC,9 Nov 1914,Havre,"[0.10767, 49.4938]",0400AM,place,Havre,"{""place""=>[""Havre""], ""location""=>[""true""], ""name""=>[""Le Havre"", """"], ""lat""=>[""49.4938"", """"], ""long""=>[""0.10767"", """"], ""id""=>[""3003796"", """"]}",3003796,Le Havre,"[0.10767, 49.4938]"
44,AWD00047eg,diary,5,2,1914-11-09 04:00:00 UTC,9 Nov 1914,Havre,"[0.10767, 49.4938]",0400AM,person,"Brigadier General  CARTER, Carter","{""first""=>[""""], ""surname""=>[""CARTER"", ""Carter""], ""rank""=>[""Brigadier General""], ""number""=>[""""], ""reason""=>[""commander""], ""unit""=>["""", ""24th Inf Bde""]}",3003796,Le Havre,"[0.10767, 49.4938]"
45,AWD00047eg,diary,5,3,1914-11-09 04:00:00 UTC,9 Nov 1914,Havre,"[0.10767, 49.4938]",0400AM,domestic,parades,{},3003796,Le Havre,"[0.10767, 49.4938]"
47,AWD00047eg,diary,5,2,1914-11-09 04:00:00 UTC,9 Nov 1914,Havre,"[0.10767, 49.4938]",0400AM,activity,movement,{},3003796,Le Havre,"[0.10767, 49.4938]"
48,AWD00047eg,diary,5,3,1914-11-09 09:40:00 UTC,9 Nov 1914,Havre,"[0.10767, 49.4938]",0940AM,time,0940AM,{},3003796,Le Havre,"[0.10767, 49.4938]"
49,AWD00047eg,diary,5,5,1914-11-10 00:00:00 UTC,10 Nov 1914,Havre,"[0.10767, 49.4938]","",diaryDate,10 Nov 1914,"{""day""=>[""10""], ""month""=>[""Nov""], ""year""=>[""1914""]}",3003796,Le Havre,"[0.10767, 49.4938]"
51,AWD00047eg,diary,5,4,1914-11-10 13:20:00 UTC,10 Nov 1914,Havre,"[0.10767, 49.4938]",0120PM,time,0120PM,{},3003796,Le Havre,"[0.10767, 49.4938]"
52,AWD00047eg,diary,5,6,1914-11-10 13:20:00 UTC,10 Nov 1914,Merville,"[2.64125, 50.64329]",0120PM,place,Merville,"{""place""=>[""Merville""], ""location""=>[""true""], ""name""=>[""Merville""], ""lat""=>[""50.64329""], ""long""=>[""2.64125""], ""id""=>[""2994297""]}",2994297,Merville,"[2.64125, 50.64329]"
53,AWD00047eg,diary,5,2,1914-11-10 13:20:00 UTC,10 Nov 1914,Merville,"[2.64125, 50.64329]",0120PM,domestic,accomodation,{},2994297,Merville,"[2.64125, 50.64329]"
56,AWD00047eg,diary,5,2,1914-11-10 13:20:00 UTC,10 Nov 1914,Merville,"[2.64125, 50.64329]",0120PM,activity,movement,{},2994297,Merville,"[2.64125, 50.64329]"
57,AWD00047eg,diary,5,3,1914-11-10 13:20:00 UTC,10 Nov 1914,Merville,"[2.64125, 50.64329]",0120PM,strength,"officer: 6, other: 210",{},2994297,Merville,"[2.64125, 50.64329]"
1,AWD00047gh,diary,6,7,1914-11-11 00:00:00 UTC,11 Nov 1914,Merville,"[2.64125, 50.64329]","",diaryDate,11 Nov 1914,"{""day""=>[""11""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2994297,Merville,"[2.64125, 50.64329]"
2,AWD00047gh,diary,6,8,1914-11-11 00:00:00 UTC,11 Nov 1914,Merville,"[2.64125, 50.64329]","",place,Merville,"{""place""=>[""Merville""], ""location""=>[""true""], ""name""=>[""Merville""], ""lat""=>[""50.64329""], ""long""=>[""2.64125""], ""id""=>[""2994297""]}",2994297,Merville,"[2.64125, 50.64329]"
4,AWD00047gh,diary,6,3,1914-11-11 00:00:00 UTC,11 Nov 1914,Merville,"[2.64125, 50.64329]","",domestic,accomodation,{},2994297,Merville,"[2.64125, 50.64329]"
7,AWD00047gh,diary,6,4,1914-11-11 00:00:00 UTC,11 Nov 1914,Merville,"[2.64125, 50.64329]","",activity,resting,{},2994297,Merville,"[2.64125, 50.64329]"
8,AWD00047gh,diary,6,5,1914-11-12 00:00:00 UTC,12 Nov 1914,Merville,"[2.64125, 50.64329]","",diaryDate,12 Nov 1914,"{""day""=>[""12""], ""month""=>[""Nov""], ""year""=>[""1914""]}",2994297,Merville,"[2.64125, 50.64329]"
