Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00048c2,diary,3,5,1919-04-01 00:00:00 UTC,1 Apr 1919,"","[0.0, 0.0]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00048c2,diary,3,4,1919-04-01 00:00:00 UTC,1 Apr 1919,"Kingshoven, konigshoven, Konigshoven, KONIGSHOVEN","[6.54179, 51.00522]","",place,"Kingshoven, konigshoven, Konigshoven, KONIGSHOVEN","{""place""=>[""Kingshoven"", ""konigshoven"", ""Konigshoven"", ""KONIGSHOVEN""], ""location""=>[""true""], ""name""=>[""Königshoven""], ""lat""=>[""51.00522""], ""long""=>[""6.54179""], ""id""=>[""2885816""]}",,,
3,AWD00048c2,diary,3,4,1919-04-01 00:00:00 UTC,1 Apr 1919,"Kingshoven, konigshoven, Konigshoven, KONIGSHOVEN","[6.54179, 51.00522]","",activity,training,{},,,
4,AWD00048c2,diary,3,4,1919-04-06 00:00:00 UTC,6 Apr 1919,"Kingshoven, konigshoven, Konigshoven, KONIGSHOVEN","[6.54179, 51.00522]","",diaryDate,6 Apr 1919,"{""day""=>[""6""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
6,AWD00048c2,diary,3,3,1919-04-07 00:00:00 UTC,7 Apr 1919,"Kingshoven, konigshoven, Konigshoven, KONIGSHOVEN","[6.54179, 51.00522]","",diaryDate,7 Apr 1919,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
8,AWD00048c2,diary,3,3,1919-04-07 00:00:00 UTC,7 Apr 1919,"Kingshoven, konigshoven, Konigshoven, KONIGSHOVEN","[6.54179, 51.00522]","",activity,movement,{},,,
9,AWD00048c2,diary,3,2,1919-04-07 00:00:00 UTC,7 Apr 1919,"Kingshoven, konigshoven, Konigshoven, KONIGSHOVEN","[6.54179, 51.00522]","",domestic,parades,{},,,
10,AWD00048c2,diary,3,2,1919-04-07 00:00:00 UTC,7 Apr 1919,"Kingshoven, konigshoven, Konigshoven, KONIGSHOVEN","[6.54179, 51.00522]","",diaryDate,7 Apr 1919,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1919""]}",,,
12,AWD00048c2,diary,3,4,1919-04-07 00:00:00 UTC,7 Apr 1919,Turnich,"[6.75535, 50.85892]","",place,Turnich,"{""place""=>[""Turnich""], ""location""=>[""true""], ""name""=>[""Türnich""], ""lat""=>[""50.85892""], ""long""=>[""6.75535""], ""id""=>[""2820736""]}",2953076,Balkhausen,"[6.75282, 50.85733]"
13,AWD00048c2,diary,3,4,1919-04-07 00:00:00 UTC,7 Apr 1919,Bruggen,"[6.18376, 51.24053]","",place,Bruggen,"{""place""=>[""Bruggen""], ""location""=>[""true""], ""name""=>[""Brüggen""], ""lat""=>[""51.24053""], ""long""=>[""6.18376""], ""id""=>[""2943336""]}",2943337,Brüggen,"[6.77643, 50.84685]"
