Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00048ee,diary,3,4,1919-04-01 00:00:00 UTC,1 Apr 1919,"","[0.0, 0.0]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00048ee,diary,3,5,1919-04-01 00:00:00 UTC,1 Apr 1919,"","[0.0, 0.0]","",domestic,accomodation,{},2985684,Pozières,"[2.72929, 50.04047]"
4,AWD00048ee,diary,3,7,1919-04-01 00:00:00 UTC,1 Apr 1919,Grottenherten,"[0.0, 0.0]","",place,Grottenherten,"{""place""=>[""Grottenherten""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",2914760,Grottenherten,"[6.48743, 50.99658]"
5,AWD00048ee,diary,3,3,1919-04-01 00:00:00 UTC,1 Apr 1919,Putz,"[6.51384, 50.99684]","",place,Putz,"{""place""=>[""Putz""], ""location""=>[""true""], ""name""=>[""Pütz""], ""lat""=>[""50.99684""], ""long""=>[""6.51384""], ""id""=>[""2851576""]}",,,
6,AWD00048ee,diary,3,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Putz,"[6.51384, 50.99684]","",domestic,accomodation,{},,,
7,AWD00048ee,diary,3,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Putz,"[6.51384, 50.99684]","",place,Kirchherten,"{""place""=>[""Kirchherten""], ""location""=>[""false"", ""true""], ""name""=>[""Kirchherten""], ""lat""=>[""51.00682""], ""long""=>[""6.48773""], ""id""=>[""2890471""]}",,,
9,AWD00048ee,diary,3,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Putz,"[6.51384, 50.99684]","",person,"Major General,other W E Peyton","{""first""=>[""W E""], ""surname""=>[""Peyton""], ""rank""=>[""Major General"", ""other""], ""number""=>[""""], ""reason""=>[""other"", ""commander""], ""unit""=>["""", ""The Rhine commanded""]}",,,
14,AWD00048ee,diary,3,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Putz,"[6.51384, 50.99684]","",unit,"10th Hussars, 15th Hussars","{""name""=>[""10th Hussars"", ""15th Hussars""], ""context""=>[""other""]}",,,
18,AWD00048ee,diary,3,3,1919-04-01 00:00:00 UTC,1 Apr 1919,Putz,"[6.51384, 50.99684]","",unit,"9th Lancers, 12th Lancers, 17th Lancers","{""name""=>[""9th Lancers"", ""12th Lancers"", ""17th Lancers""], ""context""=>[""other""]}",,,
20,AWD00048ee,diary,3,2,1919-04-01 00:00:00 UTC,1 Apr 1919,Putz,"[6.51384, 50.99684]","",unit,"6th Dragoons, 5th Dragoons","{""name""=>[""6th Dragoons"", ""5th Dragoons""], ""context""=>[""other""]}",,,
