Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
2,AWD00048fo,diary,3,5,1919-04-01 00:00:00 UTC,1 Apr 1919,"","[0.0, 0.0]","",diaryDate,1 Apr 1919,"{""day""=>[""1""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2985684,Pozières,"[2.72929, 50.04047]"
3,AWD00048fo,diary,3,5,1919-04-01 00:00:00 UTC,1 Apr 1919,Harff,"[6.53333, 51.01667]","",place,Harff,"{""place""=>[""Harff""], ""location""=>[""true""], ""name""=>[""Harff""], ""lat""=>[""51.01667""], ""long""=>[""6.53333""], ""id""=>[""2910498""]}",2910498,Harff,"[6.53333, 51.01667]"
4,AWD00048fo,diary,3,3,1919-04-01 18:00:00 UTC,1 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,time,0600PM,{},2910498,Harff,"[6.53333, 51.01667]"
5,AWD00048fo,diary,3,3,1919-04-01 18:00:00 UTC,1 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,activity,training,{},2910498,Harff,"[6.53333, 51.01667]"
7,AWD00048fo,diary,3,3,1919-04-01 18:00:00 UTC,1 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,place,Bedburg,"{""place""=>[""Bedburg""], ""location""=>[""false""], ""name""=>[""Bedburg""], ""lat""=>[""50.99258""], ""long""=>[""6.57128""], ""id""=>[""2951648""]}",2910498,Harff,"[6.53333, 51.01667]"
9,AWD00048fo,diary,3,2,1919-04-01 18:00:00 UTC,1 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,person,"other,Chaplain Stanley Blunt","{""first""=>[""Stanley""], ""surname""=>[""Blunt""], ""rank""=>[""other"", ""Chaplain""], ""number""=>[""""], ""reason""=>[""other""], ""unit""=>[""""]}",2910498,Harff,"[6.53333, 51.01667]"
11,AWD00048fo,diary,3,5,1919-04-01 18:00:00 UTC,1 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,weather,cold,{},2910498,Harff,"[6.53333, 51.01667]"
12,AWD00048fo,diary,3,4,1919-04-02 00:00:00 UTC,2 Apr 1919,Harff,"[6.53333, 51.01667]","",diaryDate,2 Apr 1919,"{""day""=>[""2""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2910498,Harff,"[6.53333, 51.01667]"
13,AWD00048fo,diary,3,2,1919-04-02 12:00:00 UTC,2 Apr 1919,Harff,"[6.53333, 51.01667]",1200PM,time,1200PM,{},2910498,Harff,"[6.53333, 51.01667]"
16,AWD00048fo,diary,3,5,1919-04-03 00:00:00 UTC,3 Apr 1919,Harff,"[6.53333, 51.01667]","",diaryDate,3 Apr 1919,"{""day""=>[""3""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2910498,Harff,"[6.53333, 51.01667]"
17,AWD00048fo,diary,3,3,1919-04-03 18:00:00 UTC,3 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,time,0600PM,{},2910498,Harff,"[6.53333, 51.01667]"
18,AWD00048fo,diary,3,3,1919-04-03 18:00:00 UTC,3 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,activity,training,{},2910498,Harff,"[6.53333, 51.01667]"
20,AWD00048fo,diary,3,3,1919-04-03 18:00:00 UTC,3 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,place,Konigshoven,"{""place""=>[""Konigshoven""], ""location""=>[""false""], ""name""=>[""Königshoven""], ""lat""=>[""51.00522""], ""long""=>[""6.54179""], ""id""=>[""2885816""]}",2910498,Harff,"[6.53333, 51.01667]"
32,AWD00048fo,diary,3,2,1919-04-03 18:00:00 UTC,3 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,unit,4th Gordon Highlanders,"{""name""=>[""4th Gordon Highlanders""], ""context""=>[""joined"", ""other""]}",2910498,Harff,"[6.53333, 51.01667]"
38,AWD00048fo,diary,3,2,1919-04-03 18:00:00 UTC,3 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,unit,"""B"" Company 4th Gordon Highlanders, ""D"" Company 4th Gordon Highlanders","{""name""=>[""\""B\"" Company 4th Gordon Highlanders"", ""\""D\"" Company 4th Gordon Highlanders""], ""context""=>[""joined""]}",2910498,Harff,"[6.53333, 51.01667]"
39,AWD00048fo,diary,3,2,1919-04-03 18:00:00 UTC,3 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,unit,"10th Hussars, 15th Hussars","{""name""=>[""10th Hussars"", ""15th Hussars""], ""context""=>[""other""]}",2910498,Harff,"[6.53333, 51.01667]"
42,AWD00048fo,diary,3,2,1919-04-03 18:00:00 UTC,3 Apr 1919,Harff,"[6.53333, 51.01667]",0600PM,weather,fine,{},2910498,Harff,"[6.53333, 51.01667]"
43,AWD00048fo,diary,3,4,1919-04-04 00:00:00 UTC,4 Apr 1919,Harff,"[6.53333, 51.01667]","",diaryDate,4 Apr 1919,"{""day""=>[""4""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2910498,Harff,"[6.53333, 51.01667]"
45,AWD00048fo,diary,3,2,1919-04-04 00:00:00 UTC,4 Apr 1919,Harff,"[6.53333, 51.01667]","",unit,"One platoon ""B"" Coy 4th Gordon Highlanders, One platoon ""D"" Coy 4th Gordon Highlanders","{""name""=>[""One platoon \""B\"" Coy 4th Gordon Highlanders"", ""One platoon \""D\"" Coy 4th Gordon Highlanders""], ""context""=>[""joined"", ""other""]}",2910498,Harff,"[6.53333, 51.01667]"
46,AWD00048fo,diary,3,2,1919-04-04 00:00:00 UTC,4 Apr 1919,Harff,"[6.53333, 51.01667]","",place,Sindorf,"{""place""=>[""Sindorf""], ""location""=>[""false""], ""name""=>[""Sindorf""], ""lat""=>[""50.90506""], ""long""=>[""6.67618""], ""id""=>[""2831930""]}",2910498,Harff,"[6.53333, 51.01667]"
47,AWD00048fo,diary,3,2,1919-04-04 00:00:00 UTC,4 Apr 1919,Harff,"[6.53333, 51.01667]","",place,Kerpen,"{""place""=>[""Kerpen""], ""location""=>[""false""], ""name""=>[""Kerpen""], ""lat""=>[""50.86991""], ""long""=>[""6.69691""], ""id""=>[""2891524""]}",2910498,Harff,"[6.53333, 51.01667]"
48,AWD00048fo,diary,3,2,1919-04-04 15:00:00 UTC,4 Apr 1919,Harff,"[6.53333, 51.01667]",0300PM,time,0300PM,{},2910498,Harff,"[6.53333, 51.01667]"
1,AWD00048ew,diary,4,3,1919-04-04 00:00:00 UTC,4 Apr 1919,Harff,"[6.53333, 51.01667]","",diaryDate,4 Apr 1919,"{""day""=>[""4""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2910498,Harff,"[6.53333, 51.01667]"
2,AWD00048ew,diary,4,3,1919-04-04 00:00:00 UTC,4 Apr 1919,Harff,"[6.53333, 51.01667]","",place,Harff,"{""place""=>[""Harff""], ""location""=>[""true""], ""name""=>[""Harff""], ""lat""=>[""51.01667""], ""long""=>[""6.53333""], ""id""=>[""2910498""]}",2910498,Harff,"[6.53333, 51.01667]"
3,AWD00048ew,diary,4,3,1919-04-04 00:00:00 UTC,4 Apr 1919,Harff,"[6.53333, 51.01667]","",weather,fine,{},2910498,Harff,"[6.53333, 51.01667]"
4,AWD00048ew,diary,4,3,1919-04-05 00:00:00 UTC,5 Apr 1919,Harff,"[6.53333, 51.01667]","",diaryDate,5 Apr 1919,"{""day""=>[""5""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2910498,Harff,"[6.53333, 51.01667]"
5,AWD00048ew,diary,4,2,1919-04-05 08:30:00 UTC,5 Apr 1919,Harff,"[6.53333, 51.01667]",0830AM,time,0830AM,{},2910498,Harff,"[6.53333, 51.01667]"
6,AWD00048ew,diary,4,2,1919-04-05 08:30:00 UTC,5 Apr 1919,Harff,"[6.53333, 51.01667]",0830AM,unit,"""Y"" Battery, ""G"" Battery","{""name""=>[""\""Y\"" Battery"", ""\""G\"" Battery""], ""context""=>[""other""]}",2910498,Harff,"[6.53333, 51.01667]"
9,AWD00048ew,diary,4,3,1919-04-05 08:30:00 UTC,5 Apr 1919,Harff,"[6.53333, 51.01667]",0830AM,place,Kerpen,"{""place""=>[""Kerpen""], ""location""=>[""false""], ""name""=>[""Kerpen""], ""lat""=>[""50.86991""], ""long""=>[""6.69691""], ""id""=>[""2891524""]}",2910498,Harff,"[6.53333, 51.01667]"
10,AWD00048ew,diary,4,2,1919-04-05 10:30:00 UTC,5 Apr 1919,Harff,"[6.53333, 51.01667]",1030AM,time,1030AM,{},2910498,Harff,"[6.53333, 51.01667]"
11,AWD00048ew,diary,4,4,1919-04-05 10:30:00 UTC,5 Apr 1919,Harff,"[6.53333, 51.01667]",1030AM,weather,fine,{},2910498,Harff,"[6.53333, 51.01667]"
12,AWD00048ew,diary,4,4,1919-04-06 00:00:00 UTC,6 Apr 1919,Harff,"[6.53333, 51.01667]","",diaryDate,6 Apr 1919,"{""day""=>[""6""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2910498,Harff,"[6.53333, 51.01667]"
14,AWD00048ew,diary,4,4,1919-04-06 00:00:00 UTC,6 Apr 1919,Harff,"[6.53333, 51.01667]","",place,Horrem,"{""place""=>[""Horrem""], ""location""=>[""false""], ""name""=>[""Horrem""], ""lat""=>[""51.09953""], ""long""=>[""6.80775""], ""id""=>[""2898734""]}",2910498,Harff,"[6.53333, 51.01667]"
15,AWD00048ew,diary,4,2,1919-04-06 00:00:00 UTC,6 Apr 1919,Harff,"[6.53333, 51.01667]","",activity,movement,{},2910498,Harff,"[6.53333, 51.01667]"
16,AWD00048ew,diary,4,4,1919-04-07 00:00:00 UTC,7 Apr 1919,Harff,"[6.53333, 51.01667]","",diaryDate,7 Apr 1919,"{""day""=>[""7""], ""month""=>[""Apr""], ""year""=>[""1919""]}",2910498,Harff,"[6.53333, 51.01667]"
17,AWD00048ew,diary,4,4,1919-04-07 00:00:00 UTC,7 Apr 1919,Harff,"[6.53333, 51.01667]","",activity,movement,{},2910498,Harff,"[6.53333, 51.01667]"
20,AWD00048ew,diary,4,7,1919-04-07 00:00:00 UTC,7 Apr 1919,Bergerhausen,"[10.4467, 48.06802]","",place,Bergerhausen,"{""place""=>[""Bergerhausen""], ""location""=>[""true""], ""name""=>[""Bergerhausen""], ""lat""=>[""48.06802""], ""long""=>[""10.4467""], ""id""=>[""2950593""]}",,,
23,AWD00048ew,diary,4,2,1919-04-07 00:00:00 UTC,7 Apr 1919,Bergerhausen,"[10.4467, 48.06802]","",place,Millendorf,"{""place""=>[""Millendorf""], ""location""=>[""false"", ""true""], ""name""=>[""Millendorf""], ""lat""=>[""50.99366""], ""long""=>[""6.55369""], ""id""=>[""2871118""]}",,,
24,AWD00048ew,diary,4,3,1919-04-07 00:00:00 UTC,7 Apr 1919,Bergerhausen,"[10.4467, 48.06802]","",place,Kirchherten,"{""place""=>[""Kirchherten""], ""location""=>[""false""], ""name""=>[""Kirchherten""], ""lat""=>[""51.00682""], ""long""=>[""6.48773""], ""id""=>[""2890471""]}",,,
28,AWD00048ew,diary,4,2,1919-04-07 00:00:00 UTC,7 Apr 1919,Bergerhausen,"[10.4467, 48.06802]","",place,Blatzheim,"{""place""=>[""Blatzheim""], ""location""=>[""false"", ""true""], ""name""=>[""Blatzheim"", ""Millendorf""], ""lat""=>[""50.85289"", ""50.99366""], ""long""=>[""6.6345"", ""6.55369""], ""id""=>[""2947961"", ""2871118""]}",,,
29,AWD00048ew,diary,4,3,1919-04-07 00:00:00 UTC,7 Apr 1919,Bergerhausen,"[10.4467, 48.06802]","",place,Turnich,"{""place""=>[""Turnich""], ""location""=>[""false""], ""name""=>[""Türnich""], ""lat""=>[""50.85892""], ""long""=>[""6.75535""], ""id""=>[""2820736""]}",,,
30,AWD00048ew,diary,4,2,1919-04-07 00:00:00 UTC,7 Apr 1919,Bergerhausen,"[10.4467, 48.06802]","",place,Balkhausen,"{""place""=>[""Balkhausen""], ""location""=>[""false""], ""name""=>[""Balkhausen""], ""lat""=>[""50.85733"", ""49.73455""], ""long""=>[""6.75282"", ""8.65903""], ""id""=>[""2953076"", ""2953077""]}",,,
31,AWD00048ew,diary,4,2,1919-04-07 00:00:00 UTC,7 Apr 1919,Bergerhausen,"[10.4467, 48.06802]","",place,Bruggen,"{""place""=>[""Bruggen""], ""location""=>[""false""], ""name""=>[""Brüggen""], ""lat""=>[""50.84685"", ""51.24053""], ""long""=>[""6.77643"", ""6.18376""], ""id""=>[""2943337"", ""2943336""]}",,,
