Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00048bi,diary,600,5,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00048bi,diary,600,4,1917-01-01 00:00:00 UTC,1 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",place,"St Valery , ST VALERY, St. Valery, Saint Valery","{""place""=>[""St Valery "", ""ST VALERY"", ""St. Valery"", ""Saint Valery""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
3,AWD00048bi,diary,600,6,1917-01-01 00:00:00 UTC,1 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",person,Lieutenant Colonel  Peterson,"{""first""=>[""""], ""surname""=>[""Peterson""], ""rank""=>[""Lieutenant Colonel""], ""number""=>[""""], ""reason""=>[""returned_hospital""], ""unit""=>[""""]}",,,
4,AWD00048bi,diary,600,3,1917-01-02 00:00:00 UTC,2 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
6,AWD00048bi,diary,600,3,1917-01-03 00:00:00 UTC,3 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
7,AWD00048bi,diary,600,3,1917-01-04 00:00:00 UTC,4 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,4 Jan 1917,"{""day""=>[""4""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
8,AWD00048bi,diary,600,2,1917-01-05 00:00:00 UTC,"5 Jan 1917, 1916","St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,"5 Jan 1917, 1916","{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1917"", ""1916""]}",,,
11,AWD00048bi,diary,600,3,1917-01-05 00:00:00 UTC,"5 Jan 1917, 1916","St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",place,Allanville,"{""place""=>[""Allanville""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
12,AWD00048bi,diary,600,2,1917-01-06 00:00:00 UTC,"6 Jan 1917, 1916","St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,"6 Jan 1917, 1916","{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1917"", ""1916""]}",,,
15,AWD00048bi,diary,600,3,1917-01-07 00:00:00 UTC,7 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,7 Jan 1917,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
16,AWD00048bi,diary,600,3,1917-01-08 00:00:00 UTC,8 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,8 Jan 1917,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
17,AWD00048bi,diary,600,3,1917-01-09 00:00:00 UTC,9 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,9 Jan 1917,"{""day""=>[""9""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
18,AWD00048bi,diary,600,3,1917-01-10 00:00:00 UTC,10 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,10 Jan 1917,"{""day""=>[""10""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
20,AWD00048bi,diary,600,3,1917-01-10 00:00:00 UTC,10 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",place,Halloy,"{""place""=>[""Halloy""], ""location""=>[""false""], ""name""=>["""", ""Halloy"", ""Péronne""], ""lat""=>["""", ""50.15649"", ""46.43865""], ""long""=>["""", ""2.42648"", ""4.81017""], ""id""=>["""", ""3014038"", ""2987929""]}",,,
21,AWD00048bi,diary,600,3,1917-01-11 00:00:00 UTC,11 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,11 Jan 1917,"{""day""=>[""11""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
22,AWD00048bi,diary,600,2,1917-01-11 00:00:00 UTC,11 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",activity,movement,{},,,
23,AWD00048bi,diary,600,3,1917-01-11 00:00:00 UTC,11 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",place,Mondicourt,"{""place""=>[""Mondicourt""], ""location""=>[""false""], ""name""=>[""Mondicourt""], ""lat""=>[""50.17196""], ""long""=>[""2.46198""], ""id""=>[""2993355""]}",,,
24,AWD00048bi,diary,600,3,1917-01-12 00:00:00 UTC,12 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,12 Jan 1917,"{""day""=>[""12""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
25,AWD00048bi,diary,600,2,1917-01-12 00:00:00 UTC,12 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",activity,resupplying,{},,,
26,AWD00048bi,diary,600,2,1917-01-13 00:00:00 UTC,"13 Jan 1917, 1916","St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,"13 Jan 1917, 1916","{""day""=>[""13""], ""month""=>[""Jan""], ""year""=>[""1917"", ""1916""]}",,,
28,AWD00048bi,diary,600,3,1917-01-14 00:00:00 UTC,14 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",diaryDate,14 Jan 1917,"{""day""=>[""14""], ""month""=>[""Jan""], ""year""=>[""1917""]}",,,
29,AWD00048bi,diary,600,3,1917-01-14 00:00:00 UTC,14 Jan 1917,"St Valery , ST VALERY, St. Valery, Saint Valery","[0.0, 0.0]","",place,Wallencourt,"{""place""=>[""Wallencourt""], ""location""=>[""false""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",,,
