Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD00048j2,diary,464,6,1917-01-01 00:00:00 UTC,1 Jan 1917,"","[0.0, 0.0]","",diaryDate,1 Jan 1917,"{""day""=>[""1""], ""month""=>[""Jan""], ""year""=>[""1917""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD00048j2,diary,464,4,1917-01-01 00:00:00 UTC,1 Jan 1917,Franleu,"[1.64095, 50.0989]","",place,Franleu,"{""place""=>[""Franleu""], ""location""=>[""true""], ""name""=>[""Franleu""], ""lat""=>[""50.0989""], ""long""=>[""1.64095""], ""id""=>[""3017331""]}",3017331,Franleu,"[1.64095, 50.0989]"
6,AWD00048j2,diary,464,4,1917-01-02 00:00:00 UTC,2 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,2 Jan 1917,"{""day""=>[""2""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
7,AWD00048j2,diary,464,4,1917-01-03 00:00:00 UTC,3 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,3 Jan 1917,"{""day""=>[""3""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
9,AWD00048j2,diary,464,3,1917-01-05 00:00:00 UTC,5 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,5 Jan 1917,"{""day""=>[""5""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
10,AWD00048j2,diary,464,5,1917-01-06 00:00:00 UTC,6 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,6 Jan 1917,"{""day""=>[""6""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
12,AWD00048j2,diary,464,5,1917-01-06 00:00:00 UTC,6 Jan 1917,Franleu,"[1.64095, 50.0989]","",domestic,inspections,{},3017331,Franleu,"[1.64095, 50.0989]"
13,AWD00048j2,diary,464,4,1917-01-07 00:00:00 UTC,7 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,7 Jan 1917,"{""day""=>[""7""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
14,AWD00048j2,diary,464,3,1917-01-08 00:00:00 UTC,8 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,8 Jan 1917,"{""day""=>[""8""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
15,AWD00048j2,diary,464,5,1917-01-09 00:00:00 UTC,9 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,9 Jan 1917,"{""day""=>[""9""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
1,AWD00047ru,diary,465,5,1917-01-10 00:00:00 UTC,10 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,10 Jan 1917,"{""day""=>[""10""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
2,AWD00047ru,diary,465,3,1917-01-10 00:00:00 UTC,10 Jan 1917,Franleu,"[1.64095, 50.0989]","",place,Franleu,"{""place""=>[""Franleu""], ""location""=>[""true""], ""name""=>[""Franleu""], ""lat""=>[""50.0989""], ""long""=>[""1.64095""], ""id""=>[""3017331""]}",3017331,Franleu,"[1.64095, 50.0989]"
7,AWD00047ru,diary,465,5,1917-01-11 00:00:00 UTC,11 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,11 Jan 1917,"{""day""=>[""11""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
10,AWD00047ru,diary,465,5,1917-01-12 00:00:00 UTC,12 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,12 Jan 1917,"{""day""=>[""12""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
11,AWD00047ru,diary,465,4,1917-01-12 00:00:00 UTC,12 Jan 1917,Franleu,"[1.64095, 50.0989]","",person,other K C Vaghela,"{""first""=>[""K C""], ""surname""=>[""Vaghela""], ""rank""=>[""other""], ""number""=>[""367""], ""reason""=>[""joined""], ""unit""=>[""""]}",3017331,Franleu,"[1.64095, 50.0989]"
1,AWD00048iw,diary,466,4,1917-01-12 00:00:00 UTC,12 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,12 Jan 1917,"{""day""=>[""12""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
2,AWD00048iw,diary,466,3,1917-01-12 00:00:00 UTC,12 Jan 1917,Franleu,"[1.64095, 50.0989]","",place,Chaussoy,"{""place""=>[""Chaussoy""], ""location""=>[""false""], ""name""=>[""Chaussoy""], ""lat""=>[""50.07303""], ""long""=>[""1.71288""], ""id""=>[""3025835""]}",3017331,Franleu,"[1.64095, 50.0989]"
3,AWD00048iw,diary,466,4,1917-01-12 00:00:00 UTC,12 Jan 1917,Franleu,"[1.64095, 50.0989]","",place,Franleu,"{""place""=>[""Franleu""], ""location""=>[""true""], ""name""=>[""Franleu""], ""lat""=>[""50.0989""], ""long""=>[""1.64095""], ""id""=>[""3017331""]}",3017331,Franleu,"[1.64095, 50.0989]"
4,AWD00048iw,diary,466,4,1917-01-13 00:00:00 UTC,13 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,13 Jan 1917,"{""day""=>[""13""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
5,AWD00048iw,diary,466,3,1917-01-14 00:00:00 UTC,14 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,14 Jan 1917,"{""day""=>[""14""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
6,AWD00048iw,diary,466,3,1917-01-15 00:00:00 UTC,15 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,15 Jan 1917,"{""day""=>[""15""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
7,AWD00048iw,diary,466,4,1917-01-16 00:00:00 UTC,16 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,16 Jan 1917,"{""day""=>[""16""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
8,AWD00048iw,diary,466,4,1917-01-16 00:00:00 UTC,16 Jan 1917,Franleu,"[1.64095, 50.0989]","",person,Driver H Perkins,"{""first""=>[""H""], ""surname""=>[""Perkins""], ""rank""=>[""Driver""], ""number""=>[""""], ""reason""=>[""departed_leave""], ""unit""=>[""ASC"", """"]}",3017331,Franleu,"[1.64095, 50.0989]"
9,AWD00048iw,diary,466,4,1917-01-17 00:00:00 UTC,17 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,17 Jan 1917,"{""day""=>[""17""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
11,AWD00048iw,diary,466,3,1917-01-19 00:00:00 UTC,19 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,19 Jan 1917,"{""day""=>[""19""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
12,AWD00048iw,diary,466,3,1917-01-20 00:00:00 UTC,20 Jan 1917,Franleu,"[1.64095, 50.0989]","",diaryDate,20 Jan 1917,"{""day""=>[""20""], ""month""=>[""Jan""], ""year""=>[""1917""]}",3017331,Franleu,"[1.64095, 50.0989]"
14,AWD00048iw,diary,466,4,1917-01-20 00:00:00 UTC,20 Jan 1917,Franleu,"[1.64095, 50.0989]","",person,"other,Sergeant Moti Rawat","{""first""=>[""Moti""], ""surname""=>[""Rawat""], ""rank""=>[""other"", ""Sergeant""], ""number""=>[""631""], ""reason""=>[""departed_posted""], ""unit""=>[""2nd/9th Gurkha Rifles""]}",3017331,Franleu,"[1.64095, 50.0989]"
