Order,Page,Page type,Page number,Count,DateTime,Date,Place,Lat/Lon,Time,Type,Label,Data,GeoID,GeoName,GeoCoords
1,AWD000486b,diary,773,4,1916-10-01 00:00:00 UTC,1 Oct 1916,"","[0.0, 0.0]","",diaryDate,1 Oct 1916,"{""day""=>[""1""], ""month""=>[""Oct""], ""year""=>[""1916""]}",2985684,Pozières,"[2.72929, 50.04047]"
2,AWD000486b,diary,773,4,1916-10-01 00:00:00 UTC,1 Oct 1916,La Broye,"[0.0, 0.0]","",place,La Broye,"{""place""=>[""La Broye""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3010730,Labroye,"[1.98858, 50.27837]"
4,AWD000486b,diary,773,3,1916-10-02 00:00:00 UTC,2 Oct 1916,La Broye,"[0.0, 0.0]","",diaryDate,2 Oct 1916,"{""day""=>[""2""], ""month""=>[""Oct""], ""year""=>[""1916""]}",3010730,Labroye,"[1.98858, 50.27837]"
6,AWD000486b,diary,773,3,1916-10-03 00:00:00 UTC,3 Oct 1916,La Broye,"[0.0, 0.0]","",diaryDate,3 Oct 1916,"{""day""=>[""3""], ""month""=>[""Oct""], ""year""=>[""1916""]}",3010730,Labroye,"[1.98858, 50.27837]"
7,AWD000486b,diary,773,2,1916-10-03 00:00:00 UTC,3 Oct 1916,La Broye,"[0.0, 0.0]","",place,La Broye,"{""place""=>[""La Broye""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3010730,Labroye,"[1.98858, 50.27837]"
8,AWD000486b,diary,773,2,1916-10-03 12:15:00 UTC,3 Oct 1916,La Broye,"[0.0, 0.0]",1215PM,time,1215PM,{},3010730,Labroye,"[1.98858, 50.27837]"
9,AWD000486b,diary,773,3,1916-10-04 00:00:00 UTC,4 Oct 1916,La Broye,"[0.0, 0.0]","",diaryDate,4 Oct 1916,"{""day""=>[""4""], ""month""=>[""Oct""], ""year""=>[""1916""]}",3010730,Labroye,"[1.98858, 50.27837]"
11,AWD000486b,diary,773,2,1916-10-04 00:00:00 UTC,4 Oct 1916,La Broye,"[0.0, 0.0]","",place,La Broye,"{""place""=>[""La Broye""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3010730,Labroye,"[1.98858, 50.27837]"
12,AWD000486b,diary,773,3,1916-10-05 00:00:00 UTC,5 Oct 1916,La Broye,"[0.0, 0.0]","",diaryDate,5 Oct 1916,"{""day""=>[""5""], ""month""=>[""Oct""], ""year""=>[""1916""]}",3010730,Labroye,"[1.98858, 50.27837]"
13,AWD000486b,diary,773,2,1916-10-05 10:00:00 UTC,5 Oct 1916,La Broye,"[0.0, 0.0]",1000AM,time,1000AM,{},3010730,Labroye,"[1.98858, 50.27837]"
14,AWD000486b,diary,773,2,1916-10-05 10:00:00 UTC,5 Oct 1916,La Broye,"[0.0, 0.0]",1000AM,person,Lance Corporal  Watson,"{""first""=>[""""], ""surname""=>[""Watson""], ""rank""=>[""Lance Corporal""], ""number""=>[""""], ""reason""=>[""other"", ""departed_posted""], ""unit""=>[""""]}",3010730,Labroye,"[1.98858, 50.27837]"
15,AWD000486b,diary,773,3,1916-10-06 00:00:00 UTC,6 Oct 1916,La Broye,"[0.0, 0.0]","",diaryDate,6 Oct 1916,"{""day""=>[""6""], ""month""=>[""Oct""], ""year""=>[""1916""]}",3010730,Labroye,"[1.98858, 50.27837]"
16,AWD000486b,diary,773,2,1916-10-06 00:00:00 UTC,6 Oct 1916,La Broye,"[0.0, 0.0]","",place,La Broye,"{""place""=>[""La Broye""], ""location""=>[""true""], ""name""=>[""""], ""lat""=>[""""], ""long""=>[""""], ""id""=>[""""]}",3010730,Labroye,"[1.98858, 50.27837]"
17,AWD000486b,diary,773,3,1916-10-07 00:00:00 UTC,7 Oct 1916,La Broye,"[0.0, 0.0]","",diaryDate,7 Oct 1916,"{""day""=>[""7""], ""month""=>[""Oct""], ""year""=>[""1916""]}",3010730,Labroye,"[1.98858, 50.27837]"
18,AWD000486b,diary,773,2,1916-10-07 15:00:00 UTC,7 Oct 1916,La Broye,"[0.0, 0.0]",0300PM,time,0300PM,{},3010730,Labroye,"[1.98858, 50.27837]"
